family_or_fallback_bucket	reads	pct_of_unclassified_genus_bucket
Unclassified Order (Class: Sericytochromatia)	4	0.003
LiUU-11-161	4	0.003
Nitrospiraceae	4	0.003
Thermoanaerobacteraceae	4	0.003
Fusobacteriaceae	4	0.003
Hymenobacteraceae	4	0.003
Unclassified Family (Order: GWA2-38-13b)	4	0.003
Unclassified Family (Order: Candidatus Jorgensenbacteria)	4	0.003
Brachyspiraceae	4	0.003
Solibacteraceae	4	0.003
Unclassified Family (Order: Syntrophobacterales)	3	0.002
Unclassified Family (Order: MB-C2-126)	3	0.002
KD3-93	3	0.002
Bacillaceae	3	0.002
Unclassified Family (Order: Omnitrophales)	3	0.002
Nodosilineaceae	3	0.002
Unclassified Family (Order: Acidobacteriales)	3	0.002
Unclassified Family (Order: Candidatus Pacebacteria)	3	0.002
Unclassified Family (Order: Tepidisphaerales)	2	0.001
Myxococcaceae	2	0.001
Unclassified Family (Order: 053A03-B-DI-P58)	2	0.001
AKAU3564 sediment group	2	0.001
Syntrophobacteraceae	2	0.001
Oxalobacteraceae	2	0.001
Acidiferrobacteraceae	2	0.001
Obscuribacteraceae	2	0.001
Unclassified Order (Class: Microgenomatia)	2	0.001
Unclassified Family (Order: Desulfatiglandales)	2	0.001
Unclassified Order (Class: CPR2)	2	0.001
Christensenellaceae	2	0.001
Unclassified Family (Order: Vampirovibrionales)	2	0.001
Unclassified Family (Order: Lineage IV)	2	0.001
WWH38	2	0.001
