taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Fibrisoma	0.0232	1	8	NA	0.1857	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UCG-004	0.0232	1	8	NA	0.1857	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Cytophaga	0.0230	3	8	1.706	0.0000	0.0000	0.0000	0.0000	0.0666	0.0158	0.1016	0.0000
Kaistia	0.0222	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1775	0.0000	0.0000	0.0000
Cephaloticoccus	0.0216	4	8	1.601	0.0000	0.0000	0.0204	0.1012	0.0173	0.0340	0.0000	0.0000
Calothrix NIES-2100	0.0216	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1726	0.0000	0.0000	0.0000
Leptolyngbya EcFYyyy-00	0.0214	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1713	0.0000	0.0000
Candidatus Xenolissoclinum	0.0213	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1701	0.0000	0.0000
Candidatus Protochlamydia	0.0200	4	8	1.351	0.0000	0.0672	0.0061	0.0000	0.0444	0.0425	0.0000	0.0000
Sulfitobacter	0.0200	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1602	0.0000
Flexibacter	0.0198	1	8	NA	0.0000	0.1584	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Simplicispira	0.0196	1	8	NA	0.0000	0.0000	0.1571	0.0000	0.0000	0.0000	0.0000	0.0000
Ilumatobacter	0.0196	3	8	1.655	0.0000	0.0864	0.0510	0.0000	0.0000	0.0194	0.0000	0.0000
Fimbriimonas	0.0195	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1563	0.0000
Acidovorax	0.0184	2	8	2.477	0.0000	0.0000	0.1305	0.0000	0.0000	0.0170	0.0000	0.0000
RB41	0.0184	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1470	0.0000	0.0000
Leeia	0.0181	3	8	1.934	0.0000	0.0192	0.0245	0.1012	0.0000	0.0000	0.0000	0.0000
Lachnospiraceae NK4B4 group	0.0180	1	8	NA	0.0000	0.1440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Candidatus Alysiosphaera	0.0178	2	8	2.361	0.0000	0.1200	0.0224	0.0000	0.0000	0.0000	0.0000	0.0000
Abditibacterium	0.0178	3	8	2.480	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0117	0.1264
Candidatus Planktoluna	0.0177	3	8	1.447	0.0000	0.0000	0.0490	0.0607	0.0321	0.0000	0.0000	0.0000
mle1-7	0.0174	3	8	1.709	0.0000	0.0336	0.0836	0.0000	0.0000	0.0219	0.0000	0.0000
Chloronema	0.0172	3	8	1.826	0.0000	0.0000	0.0000	0.0000	0.0296	0.0182	0.0899	0.0000
Noviherbaspirillum	0.0168	1	8	NA	0.0000	0.1344	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BD1-7 clade	0.0167	4	8	1.459	0.0000	0.0000	0.0122	0.0000	0.0247	0.0267	0.0703	0.0000
Nostoc PCC-7524	0.0166	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1331	0.0000	0.0000	0.0000
Youngiibacter	0.0163	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1307	0.0000	0.0000	0.0000
RS25G	0.0162	2	8	2.728	0.0000	0.0000	0.0041	0.0000	0.1257	0.0000	0.0000	0.0000
Falsibacillus	0.0161	1	8	NA	0.0000	0.0000	0.1285	0.0000	0.0000	0.0000	0.0000	0.0000
Pseudanabaena PCC-7429	0.0160	2	8	2.442	0.0000	0.0000	0.0163	0.1113	0.0000	0.0000	0.0000	0.0000
Trichodesmium IMS101	0.0152	1	8	NA	0.0000	0.0000	0.0000	0.1214	0.0000	0.0000	0.0000	0.0000
Desertifilum KR2012-2	0.0148	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1184	0.0000	0.0000	0.0000
Methylorosula	0.0148	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1184	0.0000	0.0000	0.0000
Sporichthya	0.0148	3	8	2.141	0.0000	0.0000	0.0184	0.0000	0.0912	0.0085	0.0000	0.0000
Pseudorhodobacter	0.0148	2	8	2.101	0.0000	0.0864	0.0000	0.0000	0.0000	0.0316	0.0000	0.0000
Rhodovarius	0.0146	2	8	2.445	0.0000	0.0000	0.1020	0.0000	0.0148	0.0000	0.0000	0.0000
